filename,qseqid,qlen,saccver,pident,qcovs,length,evalue,bitscore,parsed_nams,manually_edited_nams,samp,Experiment,Sample_type,Sample_name,Time,DNA_ng_µL (nanodrop),Extraction_kit,Volume stored in DD >10µL,Volume available µL,Novogene Amount required 200ng,suspected low amount,Novogene metagenomics requirements: 10 ng/uL and 200 ng amount,counts,n,gene_prop
data/blast_output_GG/output//C166__Megahit.db_hits.out,ABO15581_DEEThydrolase_Pseudomonasputida,624,k121_513727_5,29.27,92,673,1.9999999999999998e-42,167,DEEThydrolase,DEET hydrolase,C166,2,Wastewater,BT_WW_DNA_D14,D14,296.56,Dneasy PowerBiofilm (QIAGEN),ok,NA,4448.4,NA,NA,1007154,138,0.013701976063243556
data/blast_output_GG/output//C171__Megahit.db_hits.out,ABO15581_DEEThydrolase_Pseudomonasputida,624,k121_497630_4,29.27,92,673,1.9999999999999998e-42,168,DEEThydrolase,DEET hydrolase,C171,2,Wastewater,BT_WW_DNA_D25,D25,538.92,Dneasy PowerBiofilm (QIAGEN),ok,NA,8083.799999999999,NA,NA,905801,129,0.014241538704417418
data/blast_output_GG/output//C150__Megahit.db_hits.out,ABO15581_DEEThydrolase_Pseudomonasputida,624,k121_573916_5,28.77,91,664,2e-40,161,DEEThydrolase,DEET hydrolase,C150,2,Biofilm,WW80_R2_DNA_D29,Day29,190.36,Dneasy PowerBiofilm (QIAGEN),ok,NA,2855.4,NA,NA,853249,101,0.01183710733912375
data/blast_output_GG/output//C161__Megahit.db_hits.out,ABO15581_DEEThydrolase_Pseudomonasputida,624,k121_456815_4,29.07,92,664,1.9999999999999998e-42,167,DEEThydrolase,DEET hydrolase,C161,2,Wastewater,BT_WW_DNA_D02,D02,567.87,Dneasy PowerBiofilm (QIAGEN),ok,NA,8518.05,NA,NA,587811,76,0.012929325922788108
data/blast_output_GG/output//C164__Megahit.db_hits.out,ABO15581_DEEThydrolase_Pseudomonasputida,624,k121_1141738_1,29.07,92,664,2.9999999999999996e-42,167,DEEThydrolase,DEET hydrolase,C164,2,Wastewater,BT_WW_DNA_D09,D09,303.27,Dneasy PowerBiofilm (QIAGEN),ok,NA,4549.049999999999,NA,NA,814983,113,0.013865319890108137
data/blast_output_GG/output//C164__Megahit.db_hits.out,ABO15581_DEEThydrolase_Pseudomonasputida,624,k121_26372_5,28.77,91,664,1e-40,161,DEEThydrolase,DEET hydrolase,C164,2,Wastewater,BT_WW_DNA_D09,D09,303.27,Dneasy PowerBiofilm (QIAGEN),ok,NA,4549.049999999999,NA,NA,814983,113,0.013865319890108137
data/blast_output_GG/output//C165__Megahit.db_hits.out,ABO15581_DEEThydrolase_Pseudomonasputida,624,k121_765193_35,28.77,91,664,2e-40,161,DEEThydrolase,DEET hydrolase,C165,2,Wastewater,BT_WW_DNA_D11,D11,374.73,Dneasy PowerBiofilm (QIAGEN),ok,NA,5620.950000000001,NA,NA,1026559,143,0.013930032272864979
data/blast_output_GG/output//C166__Megahit.db_hits.out,ABO15581_DEEThydrolase_Pseudomonasputida,624,k121_1680477_7,28.77,91,664,2e-40,161,DEEThydrolase,DEET hydrolase,C166,2,Wastewater,BT_WW_DNA_D14,D14,296.56,Dneasy PowerBiofilm (QIAGEN),ok,NA,4448.4,NA,NA,1007154,138,0.013701976063243556
data/blast_output_GG/output//C169__Megahit.db_hits.out,ABO15581_DEEThydrolase_Pseudomonasputida,624,k121_8008_2,29.07,92,664,2.9999999999999996e-42,167,DEEThydrolase,DEET hydrolase,C169,2,Wastewater,BT_WW_DNA_D21,D21,392.03,Dneasy PowerBiofilm (QIAGEN),ok,NA,5880.45,NA,NA,882970,126,0.0142700204989977
data/blast_output_GG/output//C169__Megahit.db_hits.out,ABO15581_DEEThydrolase_Pseudomonasputida,624,k121_328486_35,28.77,91,664,2e-40,161,DEEThydrolase,DEET hydrolase,C169,2,Wastewater,BT_WW_DNA_D21,D21,392.03,Dneasy PowerBiofilm (QIAGEN),ok,NA,5880.45,NA,NA,882970,126,0.0142700204989977
data/blast_output_GG/output//C170__Megahit.db_hits.out,ABO15581_DEEThydrolase_Pseudomonasputida,624,k121_759061_5,29.22,92,664,3.9999999999999995e-42,167,DEEThydrolase,DEET hydrolase,C170,2,Wastewater,BT_WW_DNA_D23,D23,433.56,Dneasy PowerBiofilm (QIAGEN),ok,NA,6503.4,NA,NA,949158,141,0.014855271725044725
data/blast_output_GG/output//C170__Megahit.db_hits.out,ABO15581_DEEThydrolase_Pseudomonasputida,624,k121_1099332_35,28.77,91,664,2e-40,161,DEEThydrolase,DEET hydrolase,C170,2,Wastewater,BT_WW_DNA_D23,D23,433.56,Dneasy PowerBiofilm (QIAGEN),ok,NA,6503.4,NA,NA,949158,141,0.014855271725044725
data/blast_output_GG/output//C171__Megahit.db_hits.out,ABO15581_DEEThydrolase_Pseudomonasputida,624,k121_617412_35,28.77,91,664,2e-40,161,DEEThydrolase,DEET hydrolase,C171,2,Wastewater,BT_WW_DNA_D25,D25,538.92,Dneasy PowerBiofilm (QIAGEN),ok,NA,8083.799999999999,NA,NA,905801,129,0.014241538704417418
data/blast_output_GG/output//C161__Megahit.db_hits.out,ABO15581_DEEThydrolase_Pseudomonasputida,624,k121_845005_3,29.55,91,660,9e-47,179,DEEThydrolase,DEET hydrolase,C161,2,Wastewater,BT_WW_DNA_D02,D02,567.87,Dneasy PowerBiofilm (QIAGEN),ok,NA,8518.05,NA,NA,587811,76,0.012929325922788108
data/blast_output_GG/output//C164__Megahit.db_hits.out,ABO15581_DEEThydrolase_Pseudomonasputida,624,k121_426061_7,29.55,91,660,9e-47,180,DEEThydrolase,DEET hydrolase,C164,2,Wastewater,BT_WW_DNA_D09,D09,303.27,Dneasy PowerBiofilm (QIAGEN),ok,NA,4549.049999999999,NA,NA,814983,113,0.013865319890108137
data/blast_output_GG/output//C165__Megahit.db_hits.out,ABO15581_DEEThydrolase_Pseudomonasputida,624,k121_1386034_11,29.55,91,660,6e-46,179,DEEThydrolase,DEET hydrolase,C165,2,Wastewater,BT_WW_DNA_D11,D11,374.73,Dneasy PowerBiofilm (QIAGEN),ok,NA,5620.950000000001,NA,NA,1026559,143,0.013930032272864979
data/blast_output_GG/output//C166__Megahit.db_hits.out,ABO15581_DEEThydrolase_Pseudomonasputida,624,k121_229891_27,29.55,91,660,2e-46,179,DEEThydrolase,DEET hydrolase,C166,2,Wastewater,BT_WW_DNA_D14,D14,296.56,Dneasy PowerBiofilm (QIAGEN),ok,NA,4448.4,NA,NA,1007154,138,0.013701976063243556
data/blast_output_GG/output//C169__Megahit.db_hits.out,ABO15581_DEEThydrolase_Pseudomonasputida,624,k121_816573_7,29.39,91,660,5e-46,177,DEEThydrolase,DEET hydrolase,C169,2,Wastewater,BT_WW_DNA_D21,D21,392.03,Dneasy PowerBiofilm (QIAGEN),ok,NA,5880.45,NA,NA,882970,126,0.0142700204989977
data/blast_output_GG/output//C170__Megahit.db_hits.out,ABO15581_DEEThydrolase_Pseudomonasputida,624,k121_433072_3,29.55,91,660,2e-46,179,DEEThydrolase,DEET hydrolase,C170,2,Wastewater,BT_WW_DNA_D23,D23,433.56,Dneasy PowerBiofilm (QIAGEN),ok,NA,6503.4,NA,NA,949158,141,0.014855271725044725
data/blast_output_GG/output//C171__Megahit.db_hits.out,ABO15581_DEEThydrolase_Pseudomonasputida,624,k121_403562_7,29.39,91,660,5e-46,177,DEEThydrolase,DEET hydrolase,C171,2,Wastewater,BT_WW_DNA_D25,D25,538.92,Dneasy PowerBiofilm (QIAGEN),ok,NA,8083.799999999999,NA,NA,905801,129,0.014241538704417418
data/blast_output_GG/output//A17__Megahit.db_hits.out,ABO15581_DEEThydrolase_Pseudomonasputida,624,k121_1068475_44,27.7,94,657,2e-35,145,DEEThydrolase,DEET hydrolase,A17,1,Wastewater,BT_WW_DNA_W1,Week1,32.2,PowerBiofilm DNA (MO BIO),between 10 and 15µL,15,483.00000000000006,NA,NA,1051309,93,0.00884611470081584
data/blast_output_GG/output//A20__Megahit.db_hits.out,ABO15581_DEEThydrolase_Pseudomonasputida,624,k121_437831_12,27.7,94,657,3e-35,145,DEEThydrolase,DEET hydrolase,A20,1,Wastewater,BT_WW_DNA_W4,Week4,51.8,PowerBiofilm DNA (MO BIO),between 10 and 15µL,NA,777,NA,NA,1120447,110,0.009817510332929625
data/blast_output_GG/output//C157__Megahit.db_hits.out,ABO15581_DEEThydrolase_Pseudomonasputida,624,k121_521460_2,29.53,90,657,6e-46,176,DEEThydrolase,DEET hydrolase,C157,2,Biofilm,WW30_R4_DNA_D29,Day29,122.65,Dneasy PowerBiofilm (QIAGEN),ok,NA,1839.75,NA,NA,608090,65,0.010689207189725205
data/blast_output_GG/output//C161__Megahit.db_hits.out,ABO15581_DEEThydrolase_Pseudomonasputida,624,k121_424766_19,27.7,94,657,1e-35,145,DEEThydrolase,DEET hydrolase,C161,2,Wastewater,BT_WW_DNA_D02,D02,567.87,Dneasy PowerBiofilm (QIAGEN),ok,NA,8518.05,NA,NA,587811,76,0.012929325922788108
data/blast_output_GG/output//C164__Megahit.db_hits.out,ABO15581_DEEThydrolase_Pseudomonasputida,624,k121_553423_49,27.7,94,657,2e-35,145,DEEThydrolase,DEET hydrolase,C164,2,Wastewater,BT_WW_DNA_D09,D09,303.27,Dneasy PowerBiofilm (QIAGEN),ok,NA,4549.049999999999,NA,NA,814983,113,0.013865319890108137
data/blast_output_GG/output//C165__Megahit.db_hits.out,ABO15581_DEEThydrolase_Pseudomonasputida,624,k121_688634_44,27.7,94,657,3e-35,145,DEEThydrolase,DEET hydrolase,C165,2,Wastewater,BT_WW_DNA_D11,D11,374.73,Dneasy PowerBiofilm (QIAGEN),ok,NA,5620.950000000001,NA,NA,1026559,143,0.013930032272864979
data/blast_output_GG/output//C166__Megahit.db_hits.out,ABO15581_DEEThydrolase_Pseudomonasputida,624,k121_1310513_47,27.7,94,657,1e-35,146,DEEThydrolase,DEET hydrolase,C166,2,Wastewater,BT_WW_DNA_D14,D14,296.56,Dneasy PowerBiofilm (QIAGEN),ok,NA,4448.4,NA,NA,1007154,138,0.013701976063243556
data/blast_output_GG/output//C169__Megahit.db_hits.out,ABO15581_DEEThydrolase_Pseudomonasputida,624,k121_6969_14,27.7,94,657,1e-35,146,DEEThydrolase,DEET hydrolase,C169,2,Wastewater,BT_WW_DNA_D21,D21,392.03,Dneasy PowerBiofilm (QIAGEN),ok,NA,5880.45,NA,NA,882970,126,0.0142700204989977
data/blast_output_GG/output//C170__Megahit.db_hits.out,ABO15581_DEEThydrolase_Pseudomonasputida,624,k121_692642_47,27.7,94,657,1e-35,146,DEEThydrolase,DEET hydrolase,C170,2,Wastewater,BT_WW_DNA_D23,D23,433.56,Dneasy PowerBiofilm (QIAGEN),ok,NA,6503.4,NA,NA,949158,141,0.014855271725044725
data/blast_output_GG/output//C171__Megahit.db_hits.out,ABO15581_DEEThydrolase_Pseudomonasputida,624,k121_545782_47,27.7,94,657,1e-35,146,DEEThydrolase,DEET hydrolase,C171,2,Wastewater,BT_WW_DNA_D25,D25,538.92,Dneasy PowerBiofilm (QIAGEN),ok,NA,8083.799999999999,NA,NA,905801,129,0.014241538704417418
data/blast_output_GG/output//C205__Megahit.db_hits.out,ABO15581_DEEThydrolase_Pseudomonasputida,624,k121_375323_4,30.03,91,656,3e-51,193,DEEThydrolase,DEET hydrolase,C205,2,Filtrated_wastewater,BT_UF_DNA_D21,D21,14.52,Dneasy PowerBiofilm (QIAGEN),ok,NA,217.79999999999998,x,NA,778782,88,0.011299696192259194
data/blast_output_GG/output//C170__Megahit.db_hits.out,ABO15581_DEEThydrolase_Pseudomonasputida,624,k121_1427727_6,27.36,91,647,3e-38,155,DEEThydrolase,DEET hydrolase,C170,2,Wastewater,BT_WW_DNA_D23,D23,433.56,Dneasy PowerBiofilm (QIAGEN),ok,NA,6503.4,NA,NA,949158,141,0.014855271725044725
data/blast_output_GG/output//C161__Megahit.db_hits.out,ABO15581_DEEThydrolase_Pseudomonasputida,624,k121_672898_1,28.33,88,646,7e-38,151,DEEThydrolase,DEET hydrolase,C161,2,Wastewater,BT_WW_DNA_D02,D02,567.87,Dneasy PowerBiofilm (QIAGEN),ok,NA,8518.05,NA,NA,587811,76,0.012929325922788108
data/blast_output_GG/output//C164__Megahit.db_hits.out,ABO15581_DEEThydrolase_Pseudomonasputida,624,k121_148833_4,27.24,91,646,8e-39,156,DEEThydrolase,DEET hydrolase,C164,2,Wastewater,BT_WW_DNA_D09,D09,303.27,Dneasy PowerBiofilm (QIAGEN),ok,NA,4549.049999999999,NA,NA,814983,113,0.013865319890108137
data/blast_output_GG/output//C166__Megahit.db_hits.out,ABO15581_DEEThydrolase_Pseudomonasputida,624,k121_596184_9,27.55,91,646,4e-40,160,DEEThydrolase,DEET hydrolase,C166,2,Wastewater,BT_WW_DNA_D14,D14,296.56,Dneasy PowerBiofilm (QIAGEN),ok,NA,4448.4,NA,NA,1007154,138,0.013701976063243556
data/blast_output_GG/output//C169__Megahit.db_hits.out,ABO15581_DEEThydrolase_Pseudomonasputida,624,k121_1496597_3,27.55,91,646,2.9999999999999998e-40,160,DEEThydrolase,DEET hydrolase,C169,2,Wastewater,BT_WW_DNA_D21,D21,392.03,Dneasy PowerBiofilm (QIAGEN),ok,NA,5880.45,NA,NA,882970,126,0.0142700204989977
data/blast_output_GG/output//C171__Megahit.db_hits.out,ABO15581_DEEThydrolase_Pseudomonasputida,624,k121_1282094_6,27.55,91,646,4e-40,160,DEEThydrolase,DEET hydrolase,C171,2,Wastewater,BT_WW_DNA_D25,D25,538.92,Dneasy PowerBiofilm (QIAGEN),ok,NA,8083.799999999999,NA,NA,905801,129,0.014241538704417418
data/blast_output_GG/output//C165__Megahit.db_hits.out,ABO15581_DEEThydrolase_Pseudomonasputida,624,k121_1155626_9,29.86,91,643,3e-52,196,DEEThydrolase,DEET hydrolase,C165,2,Wastewater,BT_WW_DNA_D11,D11,374.73,Dneasy PowerBiofilm (QIAGEN),ok,NA,5620.950000000001,NA,NA,1026559,143,0.013930032272864979
data/blast_output_GG/output//C166__Megahit.db_hits.out,ABO15581_DEEThydrolase_Pseudomonasputida,624,k121_1522425_10,29.86,91,643,3e-52,196,DEEThydrolase,DEET hydrolase,C166,2,Wastewater,BT_WW_DNA_D14,D14,296.56,Dneasy PowerBiofilm (QIAGEN),ok,NA,4448.4,NA,NA,1007154,138,0.013701976063243556
data/blast_output_GG/output//C157__Megahit.db_hits.out,ABO15581_DEEThydrolase_Pseudomonasputida,624,k121_1479635_4,29.11,91,639,6e-48,182,DEEThydrolase,DEET hydrolase,C157,2,Biofilm,WW30_R4_DNA_D29,Day29,122.65,Dneasy PowerBiofilm (QIAGEN),ok,NA,1839.75,NA,NA,608090,65,0.010689207189725205
data/blast_output_GG/output//C161__Megahit.db_hits.out,ABO15581_DEEThydrolase_Pseudomonasputida,624,k121_1009800_12,29.26,91,639,5e-49,186,DEEThydrolase,DEET hydrolase,C161,2,Wastewater,BT_WW_DNA_D02,D02,567.87,Dneasy PowerBiofilm (QIAGEN),ok,NA,8518.05,NA,NA,587811,76,0.012929325922788108
data/blast_output_GG/output//C164__Megahit.db_hits.out,ABO15581_DEEThydrolase_Pseudomonasputida,624,k121_33707_7,29.11,91,639,5e-48,183,DEEThydrolase,DEET hydrolase,C164,2,Wastewater,BT_WW_DNA_D09,D09,303.27,Dneasy PowerBiofilm (QIAGEN),ok,NA,4549.049999999999,NA,NA,814983,113,0.013865319890108137
data/blast_output_GG/output//C165__Megahit.db_hits.out,ABO15581_DEEThydrolase_Pseudomonasputida,624,k121_15332_16,29.11,91,639,1e-47,182,DEEThydrolase,DEET hydrolase,C165,2,Wastewater,BT_WW_DNA_D11,D11,374.73,Dneasy PowerBiofilm (QIAGEN),ok,NA,5620.950000000001,NA,NA,1026559,143,0.013930032272864979
data/blast_output_GG/output//C166__Megahit.db_hits.out,ABO15581_DEEThydrolase_Pseudomonasputida,624,k121_663691_92,29.11,91,639,9e-48,182,DEEThydrolase,DEET hydrolase,C166,2,Wastewater,BT_WW_DNA_D14,D14,296.56,Dneasy PowerBiofilm (QIAGEN),ok,NA,4448.4,NA,NA,1007154,138,0.013701976063243556
data/blast_output_GG/output//C169__Megahit.db_hits.out,ABO15581_DEEThydrolase_Pseudomonasputida,624,k121_738214_31,29.11,91,639,8e-48,182,DEEThydrolase,DEET hydrolase,C169,2,Wastewater,BT_WW_DNA_D21,D21,392.03,Dneasy PowerBiofilm (QIAGEN),ok,NA,5880.45,NA,NA,882970,126,0.0142700204989977
data/blast_output_GG/output//C171__Megahit.db_hits.out,ABO15581_DEEThydrolase_Pseudomonasputida,624,k121_54327_53,29.11,91,639,9e-48,182,DEEThydrolase,DEET hydrolase,C171,2,Wastewater,BT_WW_DNA_D25,D25,538.92,Dneasy PowerBiofilm (QIAGEN),ok,NA,8083.799999999999,NA,NA,905801,129,0.014241538704417418
data/blast_output_GG/output//C164__Megahit.db_hits.out,ABO15581_DEEThydrolase_Pseudomonasputida,624,k121_684114_1,30.25,91,638,2e-52,196,DEEThydrolase,DEET hydrolase,C164,2,Wastewater,BT_WW_DNA_D09,D09,303.27,Dneasy PowerBiofilm (QIAGEN),ok,NA,4549.049999999999,NA,NA,814983,113,0.013865319890108137
data/blast_output_GG/output//A08__Megahit.db_hits.out,ABO15581_DEEThydrolase_Pseudomonasputida,624,k121_724440_13,21.19,91,637,2e-8,61.2,DEEThydrolase,DEET hydrolase,A08,1,Biofilm,WW80_R4_DNA_Dfinal,Week4,16.8,PowerBiofilm DNA (MO BIO),ok,NA,252,NA,NA,818094,77,0.009412121345468857
data/blast_output_GG/output//A10__Megahit.db_hits.out,ABO15581_DEEThydrolase_Pseudomonasputida,624,k121_910468_6,20.88,91,637,7e-8,59.3,DEEThydrolase,DEET hydrolase,A10,1,Biofilm,WW80_R2_DNA_Dfinal,Week4,19.3,PowerBiofilm DNA (MO BIO),ok,NA,289.5,NA,NA,755052,76,0.01006553191038498
data/blast_output_GG/output//A17__Megahit.db_hits.out,ABO15581_DEEThydrolase_Pseudomonasputida,624,k121_1133021_48,28.8,91,632,2e-44,173,DEEThydrolase,DEET hydrolase,A17,1,Wastewater,BT_WW_DNA_W1,Week1,32.2,PowerBiofilm DNA (MO BIO),between 10 and 15µL,15,483.00000000000006,NA,NA,1051309,93,0.00884611470081584
data/blast_output_GG/output//A20__Megahit.db_hits.out,ABO15581_DEEThydrolase_Pseudomonasputida,624,k121_1727466_2,28.8,91,632,2e-44,173,DEEThydrolase,DEET hydrolase,A20,1,Wastewater,BT_WW_DNA_W4,Week4,51.8,PowerBiofilm DNA (MO BIO),between 10 and 15µL,NA,777,NA,NA,1120447,110,0.009817510332929625
data/blast_output_GG/output//C161__Megahit.db_hits.out,ABO15581_DEEThydrolase_Pseudomonasputida,624,k121_329911_42,28.96,91,632,1e-45,176,DEEThydrolase,DEET hydrolase,C161,2,Wastewater,BT_WW_DNA_D02,D02,567.87,Dneasy PowerBiofilm (QIAGEN),ok,NA,8518.05,NA,NA,587811,76,0.012929325922788108
data/blast_output_GG/output//C164__Megahit.db_hits.out,ABO15581_DEEThydrolase_Pseudomonasputida,624,k121_1108296_59,28.96,91,632,1e-45,176,DEEThydrolase,DEET hydrolase,C164,2,Wastewater,BT_WW_DNA_D09,D09,303.27,Dneasy PowerBiofilm (QIAGEN),ok,NA,4549.049999999999,NA,NA,814983,113,0.013865319890108137
data/blast_output_GG/output//C165__Megahit.db_hits.out,ABO15581_DEEThydrolase_Pseudomonasputida,624,k121_1498792_8,28.96,91,632,2e-45,176,DEEThydrolase,DEET hydrolase,C165,2,Wastewater,BT_WW_DNA_D11,D11,374.73,Dneasy PowerBiofilm (QIAGEN),ok,NA,5620.950000000001,NA,NA,1026559,143,0.013930032272864979
data/blast_output_GG/output//C166__Megahit.db_hits.out,ABO15581_DEEThydrolase_Pseudomonasputida,624,k121_1325396_29,28.8,91,632,2e-44,173,DEEThydrolase,DEET hydrolase,C166,2,Wastewater,BT_WW_DNA_D14,D14,296.56,Dneasy PowerBiofilm (QIAGEN),ok,NA,4448.4,NA,NA,1007154,138,0.013701976063243556
data/blast_output_GG/output//C169__Megahit.db_hits.out,ABO15581_DEEThydrolase_Pseudomonasputida,624,k121_1228803_48,28.8,91,632,1e-44,174,DEEThydrolase,DEET hydrolase,C169,2,Wastewater,BT_WW_DNA_D21,D21,392.03,Dneasy PowerBiofilm (QIAGEN),ok,NA,5880.45,NA,NA,882970,126,0.0142700204989977
data/blast_output_GG/output//C170__Megahit.db_hits.out,ABO15581_DEEThydrolase_Pseudomonasputida,624,k121_1421219_8,28.8,91,632,2e-44,173,DEEThydrolase,DEET hydrolase,C170,2,Wastewater,BT_WW_DNA_D23,D23,433.56,Dneasy PowerBiofilm (QIAGEN),ok,NA,6503.4,NA,NA,949158,141,0.014855271725044725
data/blast_output_GG/output//C171__Megahit.db_hits.out,ABO15581_DEEThydrolase_Pseudomonasputida,624,k121_466138_9,28.8,91,632,1e-44,174,DEEThydrolase,DEET hydrolase,C171,2,Wastewater,BT_WW_DNA_D25,D25,538.92,Dneasy PowerBiofilm (QIAGEN),ok,NA,8083.799999999999,NA,NA,905801,129,0.014241538704417418
data/blast_output_GG/output//C170__Megahit.db_hits.out,ABO15581_DEEThydrolase_Pseudomonasputida,624,k121_1353502_31,29.52,91,630,1e-47,182,DEEThydrolase,DEET hydrolase,C170,2,Wastewater,BT_WW_DNA_D23,D23,433.56,Dneasy PowerBiofilm (QIAGEN),ok,NA,6503.4,NA,NA,949158,141,0.014855271725044725
data/blast_output_GG/output//C170__Megahit.db_hits.out,ABO15581_DEEThydrolase_Pseudomonasputida,624,k121_1444369_2,24.13,93,630,1e-18,93.6,DEEThydrolase,DEET hydrolase,C170,2,Wastewater,BT_WW_DNA_D23,D23,433.56,Dneasy PowerBiofilm (QIAGEN),ok,NA,6503.4,NA,NA,949158,141,0.014855271725044725
data/blast_output_GG/output//C171__Megahit.db_hits.out,ABO15581_DEEThydrolase_Pseudomonasputida,624,k121_1458826_2,23.49,87,630,3e-16,86.3,DEEThydrolase,DEET hydrolase,C171,2,Wastewater,BT_WW_DNA_D25,D25,538.92,Dneasy PowerBiofilm (QIAGEN),ok,NA,8083.799999999999,NA,NA,905801,129,0.014241538704417418
data/blast_output_GG/output//C207__Megahit.db_hits.out,ABO15581_DEEThydrolase_Pseudomonasputida,624,k121_1554513_2,24.13,93,630,1e-18,93.6,DEEThydrolase,DEET hydrolase,C207,2,Filtrated_wastewater,BT_UF_DNA_D25,D25,18.92,Dneasy PowerBiofilm (QIAGEN),ok,NA,283.8,NA,NA,838316,105,0.012525109863106515
data/blast_output_GG/output//A20__Megahit.db_hits.out,ABO15581_DEEThydrolase_Pseudomonasputida,624,k121_1688004_9,20.03,87,629,0.003,45.1,DEEThydrolase,DEET hydrolase,A20,1,Wastewater,BT_WW_DNA_W4,Week4,51.8,PowerBiofilm DNA (MO BIO),between 10 and 15µL,NA,777,NA,NA,1120447,110,0.009817510332929625
data/blast_output_GG/output//C198__Megahit.db_hits.out,ABO15581_DEEThydrolase_Pseudomonasputida,624,k121_1533878_4,24.01,87,629,6e-23,107,DEEThydrolase,DEET hydrolase,C198,2,Filtrated_wastewater,BT_UF_DNA_D04,D04,74.82,Dneasy PowerBiofilm (QIAGEN),ok,NA,1122.3,NA,NA,737220,50,0.006782235967553784
data/blast_output_GG/output//C205__Megahit.db_hits.out,ABO15581_DEEThydrolase_Pseudomonasputida,624,k121_319029_36,29.46,91,628,5e-41,162,DEEThydrolase,DEET hydrolase,C205,2,Filtrated_wastewater,BT_UF_DNA_D21,D21,14.52,Dneasy PowerBiofilm (QIAGEN),ok,NA,217.79999999999998,x,NA,778782,88,0.011299696192259194
